id,university,subject,close,first_result,interview,finale_rusult
78,연세대학교(면접형),노어노문학과,10/1~10/10,09월 30일,10월 14일,11월 17일
79,연세대학교(면접형),사학과,10/1~10/10,09월 30일,10월 14일,11월 17일
80,연세대학교(면접형),철학과,10/1~10/10,09월 30일,10월 14일,11월 17일
81,연세대학교(면접형),문헌정보학과,10/1~10/10,09월 30일,10월 14일,11월 17일
82,연세대학교(면접형),심리학과,10/1~10/10,09월 30일,10월 14일,11월 17일
83,연세대학교(면접형),경제학부,10/1~10/10,09월 30일,10월 14일,11월 17일
84,연세대학교(면접형),응용통계학과,10/1~10/10,09월 30일,10월 14일,11월 17일
85,연세대학교(면접형),경제학과,10/1~10/10,09월 30일,10월 14일,11월 17일
86,연세대학교(면접형),수학과,10/1~10/10,09월 30일,10월 14일,11월 17일
87,연세대학교(면접형),물리학과,10/1~10/10,09월 30일,10월 14일,11월 17일
88,연세대학교(면접형),화학과,10/1~10/10,09월 30일,10월 14일,11월 17일
89,연세대학교(면접형),지구시스템학과,10/1~10/10,09월 30일,10월 14일,11월 17일
90,연세대학교(면접형),천문우주학과,10/1~10/10,09월 30일,10월 14일,11월 17일
91,연세대학교(면접형),대기과학과,10/1~10/10,09월 30일,10월 14일,11월 17일
92,연세대학교(면접형),화공생명공학부,10/1~10/10,09월 30일,10월 14일,11월 17일
93,연세대학교(면접형),전기전자공학부,10/1~10/10,09월 30일,10월 14일,11월 17일
94,연세대학교(면접형),건축공학과,10/1~10/10,09월 30일,10월 14일,11월 17일
95,연세대학교(면접형),도시공학과,10/1~10/10,09월 30일,10월 14일,11월 17일
96,연세대학교(면접형),사회환경시스템공학부,10/1~10/10,09월 30일,10월 14일,11월 17일
97,연세대학교(면접형),기계공학부,10/1~10/10,09월 30일,10월 14일,11월 17일
98,연세대학교(면접형),신소재공학부,10/1~10/10,09월 30일,10월 14일,11월 17일
99,연세대학교(면접형),산업공학과,10/1~10/10,09월 30일,10월 14일,11월 17일
100,연세대학교(면접형),컴퓨터과학과,10/1~10/10,09월 30일,10월 14일,11월 17일
101,연세대학교(면접형),시스템생물학과,10/1~10/10,09월 30일,10월 14일,11월 17일
102,연세대학교(면접형),생화학과,10/1~10/10,09월 30일,10월 14일,11월 17일
103,연세대학교(면접형),생명공학과,10/1~10/10,09월 30일,10월 14일,11월 17일
