id,university,subject,close,first_result,interview,finale_rusult,x_point,y_point
62,서울대학교,화학교육과,9/11~9/14,11월 17일,11월 24일,12월 25일,37.464007,126.9522394
63,서울대학교,생물교육과,9/11~9/14,11월 17일,11월 24일,12월 25일,37.464007,126.9522394
64,서울대학교,지구과학교육과,9/11~9/14,11월 17일,11월 24일,12월 25일,37.464007,126.9522394
65,서울대학교,체육교육과,9/11~9/14,11월 17일,11월 24일,12월 25일,37.464007,126.9522394
66,서울대학교,소비자아동학부,9/11~9/14,11월 17일,11월 24일,12월 25일,37.464007,126.9522394
67,서울대학교,식품영양학과,9/11~9/14,11월 17일,11월 24일,12월 25일,37.464007,126.9522394
68,서울대학교,의류학과,9/11~9/14,11월 17일,11월 24일,12월 25일,37.464007,126.9522394
69,서울대학교,수의예과,9/11~9/14,11월 17일,11월 25일,12월 25일,37.464007,126.9522394
70,서울대학교,의예과,9/11~9/14,11월 17일,11월 25일,12월 25일,37.464007,126.9522394
71,서울대학교,자율전공,9/11~9/14,11월 17일,11월 24일,12월 25일,37.464007,126.9522394
72,서울대학교,치의학대학원,9/11~9/14,11월 17일,11월 25일,12월 25일,37.464007,126.9522394
73,연세대학교(면접형),국어국문학과,10/1~10/10,09월 30일,10월 14일,11월 17일,37.5649367,126.9383335
74,연세대학교(면접형),중어중문학과,10/1~10/10,09월 30일,10월 14일,11월 17일,37.5649367,126.9383335
75,연세대학교(면접형),영어영문학과,10/1~10/10,09월 30일,10월 14일,11월 17일,37.5649367,126.9383335
76,연세대학교(면접형),독어독문학과,10/1~10/10,09월 30일,10월 14일,11월 17일,37.5649367,126.9383335
77,연세대학교(면접형),불어불문학과,10/1~10/10,09월 30일,10월 14일,11월 17일,37.5649367,126.9383335
78,연세대학교(면접형),노어노문학과,10/1~10/10,09월 30일,10월 14일,11월 17일,37.5649367,126.9383335
79,연세대학교(면접형),사학과,10/1~10/10,09월 30일,10월 14일,11월 17일,37.5649367,126.9383335
80,연세대학교(면접형),철학과,10/1~10/10,09월 30일,10월 14일,11월 17일,37.5649367,126.9383335
81,연세대학교(면접형),문헌정보학과,10/1~10/10,09월 30일,10월 14일,11월 17일,37.5649367,126.9383335
82,연세대학교(면접형),심리학과,10/1~10/10,09월 30일,10월 14일,11월 17일,37.5649367,126.9383335
83,연세대학교(면접형),경제학부,10/1~10/10,09월 30일,10월 14일,11월 17일,37.5649367,126.9383335
84,연세대학교(면접형),응용통계학과,10/1~10/10,09월 30일,10월 14일,11월 17일,37.5649367,126.9383335
85,연세대학교(면접형),경제학과,10/1~10/10,09월 30일,10월 14일,11월 17일,37.5649367,126.9383335
